,Environment,Transition Type,Num GT Clusters,Num Learned Clusters,Num Rollouts,Algorithm,Initialisation,Replicate,Iterations,Responsibility Matrix,Reward Weights,Runtime (s)
13,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,13,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.13978556938654, 9.475263715277068], [10.0, 0.0], [9.682525209809162, 0.0], [9.1621705090032, 8.688972154389925], [9.783643664847338, 5.08997925124564]]]",12.595023
14,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,14,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.677667687746008, 8.959662589240137], [10.0, 0.0], [9.020922407888241, 0.0], [8.283012618862767, 7.949763380245613], [9.380161026403403, 5.436099797259278]]]",12.721401
15,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,15,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.550795268073992, 9.555346499496915], [10.0, 0.0], [9.57815828715509, 0.0], [9.64335815583593, 8.933417145750932], [9.814005431515378, 0.0]]]",12.524287
16,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,16,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.29352146007466, 9.23584912187257], [9.365316914551467, 0.0], [9.139885649424093, 0.0], [10.0, 9.404397334136817], [9.427072749910586, 4.804715835200436]]]",9.735383
17,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,17,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.211277946729286, 9.54508804512079], [9.753794144044601, 0.0], [10.0, 0.0], [8.712473306783318, 8.647500156298793], [9.891317159607873, 7.2700122691923035]]]",10.046308999999999
18,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,18,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.164943239415509, 9.19518909804414], [9.207341421645742, 0.0], [10.0, 0.0], [9.307387064301446, 8.77375240385621], [9.444602730902256, 6.639436953386598]]]",10.055475999999999
19,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,19,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.03930308567132, 9.264500308128088], [10.0, 0.0], [9.512498698660552, 0.0], [8.708064083815863, 8.247693479250485], [9.628407715003327, 4.912248600222084]]]",10.147927000000001
20,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,20,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.651821987572344, 9.630103228861849], [9.748937525728087, 0.0], [9.99891857205917, 0.0], [9.359367813163352, 9.432432426064034], [9.950257480656694, 7.413965022501299]]]",9.953264
21,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,21,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.134610015004057, 9.530215518863077], [10.0, 0.0], [9.455484833230189, 0.0], [9.311741208139177, 9.040223396631374], [9.8570463003658, 6.98400868050559]]]",9.830121
22,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,22,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.472565061900763, 9.23570335881222], [9.057776205805032, 0.0], [10.0, 0.0], [8.279831499393705, 7.727110196840648], [9.508979607136212, 6.863705019146142]]]",9.895513000000001
